date,description,amount
2023-01-05,Uber Trip,15.50
2023-01-08,McDonalds,8.20
2023-01-12,Netflix Subscription,15.99
2023-01-15,Whole Foods Market,45.00
2023-01-18,Shell Station,35.00
2023-01-22,Amazon.com,22.10
2023-01-25,Starbucks,5.50
2023-01-28,AMC Theatres,25.00
2023-01-29,Planet Fitness,20.00
2023-01-30,Apartment Rent,1500.00
2023-02-02,Uber Trip,12.00
2023-02-05,Chipotle,14.50
2023-02-10,Spotify Premium,9.99
2023-02-14,Trader Joes,60.00
2023-02-18,Chevron,40.00
2023-02-22,Walmart,35.50
2023-02-25,Starbucks,6.00
2023-02-28,Apartment Rent,1500.00
2023-03-05,Lyft Ride,18.00
2023-03-08,KFC,10.50
2023-03-12,Netflix Subscription,15.99
2023-03-15,Whole Foods Market,55.00
2023-03-18,Shell Station,38.00
2023-03-22,Target,45.00
2023-03-25,Peets Coffee,4.50
2023-03-28,Museum of Art,20.00
2023-03-29,Planet Fitness,20.00
2023-03-30,Apartment Rent,1500.00
2023-04-02,Uber Trip,16.00
2023-04-05,Subway,9.00
2023-04-10,Spotify Premium,9.99
2023-04-14,Trader Joes,65.00
2023-04-18,Chevron,42.00
2023-04-22,Amazon.com,18.50
2023-04-25,Starbucks,5.50
2023-04-28,Apartment Rent,1500.00
2023-05-05,Lyft Ride,14.00
2023-05-08,Taco Bell,8.00
2023-05-12,Netflix Subscription,15.99
2023-05-15,Whole Foods Market,50.00
2023-05-18,Shell Station,36.00
2023-05-22,Walmart,28.00
2023-05-25,Starbucks,6.00
2023-05-28,Concert Tickets,120.00
2023-05-29,Planet Fitness,20.00
2023-05-30,Apartment Rent,1500.00
2023-06-02,Uber Trip,17.00
2023-06-05,Panera Bread,12.50
2023-06-10,Spotify Premium,9.99
2023-06-14,Trader Joes,70.00
2023-06-18,Chevron,39.00
2023-06-22,Target,32.00
2023-06-25,Starbucks,5.50
2023-06-28,Apartment Rent,1500.00
2023-06-30,CVS Pharmacy,25.00
2023-07-02,Uber Trip,15.00
2023-07-05,Dominos Pizza,18.00
2023-07-10,Netflix Subscription,15.99
2023-07-15,Whole Foods Market,48.00
2023-07-18,Shell Station,34.00
2023-01-10,Apple Store Macbook Pro,2500.00
2023-03-20,Delta Airlines Flight,1200.00
2023-05-10,Michelin Star Restaurant,500.00
2023-06-15,Emergency Plumber,800.00
